Signs of x and y,sum Xi,avg(x),sum Yi,avg(y),sum(Xi*Yi),avg(x*y),D(x),D(y),S(x),S(y)
For у and х1,0.468,0.0468,10.9,1.09,0.487,0.051,1.20E-05,2.001,0.00343,1.415
For у and х2,0.947,0.0947,10.9,1.09,0.942,0.104,0.00024,2.001,0.0155,1.415
For у and х3,1.306,0.131,10.9,1.09,1.307,0.143,0.00012,2.001,0.0108,1.415
For х1 and х2,0.947,0.0947,0.468,0.0468,0.0444,0.00444,0.00024,1.20E-05,0.0155,0.00343
For х1 and х3,1.306,0.131,0.468,0.0468,0.0613,0.00613,0.00012,1.20E-05,0.0108,0.00343
For х2 and х3,1.306,0.131,0.947,0.0947,0.125,0.0125,0.00012,0.00024,0.0108,0.0155
